Time,cellID,x,y
0.1,0,50.0361,-0.297822
0.2,0,50.1189,0.08607
0.3,0,50.2862,-0.233381
0.4,0,50.313,-0.443714
0.5,0,50.5802,-0.315998
0.6,0,50.6512,-0.0799884
0.7,0,50.8495,-0.320046
0.8,0,50.971,-0.049831
0.9,0,51.134,-0.312751
1,0,51.3004,-0.0743019
1.1,0,51.4662,-0.302881
1.2,0,51.6815,-0.283372
1.3,0,51.6968,0.00632859
1.4,0,51.8764,0.120272
1.5,0,52.0539,-0.114166
1.6,0,52.2507,-0.166119
1.7,0,52.2157,0.163873
1.8,0,52.4217,0.263748
1.9,0,52.4687,-0.0762386
2,0,52.6692,0.193363
2.1,0,52.7301,0.398582
2.2,0,52.9352,0.472852
2.3,0,52.9143,0.125411
2.4,0,53.1763,0.32266
2.5,0,53.3812,0.26923
2.6,0,53.4665,0.512155
2.7,0,53.4492,0.730132
2.8,0,53.5016,0.338865
2.9,0,53.5602,0.147455
3,0,53.7273,0.0149982
3.1,0,53.8369,0.335408
3.2,0,54.0596,0.359613
3.3,0,54.0952,0.595174
3.4,0,54.0788,0.803729
3.5,0,54.3451,0.584542
3.6,0,54.5417,0.707318
3.7,0,54.705,0.830301
3.8,0,54.9042,0.871782
3.9,0,54.9506,0.576766
4,0,55.098,0.893258
4.1,0,55.2213,0.583537
4.2,0,55.3736,0.452233
4.3,0,55.3128,0.222152
4.4,0,55.3232,0.621761
4.5,0,55.5865,0.387152
4.6,0,55.7343,0.248309
4.7,0,55.8054,0.0498078
4.8,0,56.0052,-0.029746
4.9,0,56.2135,0.0959009
5,0,56.3224,0.290462
5.1,0,56.4998,0.389357
5.2,0,56.6274,0.117548
5.3,0,56.8177,0.0396165
5.4,0,56.9981,-0.0470225
5.5,0,57.1327,0.19844
5.6,0,57.3572,0.155273
5.7,0,57.4391,0.386249
5.8,0,57.5824,0.0864932
5.9,0,57.7351,-0.0433866
6,0,57.737,0.31473
6.1,0,57.9265,0.427519
6.2,0,57.8992,0.65438
6.3,0,58.1844,0.562433
6.4,0,58.3395,0.402215
6.5,0,58.2611,0.154921
6.6,0,58.5572,0.223487
6.7,0,58.6163,0.488635
6.8,0,58.8503,0.31585
6.9,0,58.8574,0.0633005
7,0,58.8329,-0.142593
7.1,0,59.0953,0.0968837
7.2,0,59.1567,-0.209472
7.3,0,59.3834,-0.238777
7.4,0,59.3584,-0.492505
7.5,0,59.6237,-0.310201
7.6,0,59.7052,-0.0965366
7.7,0,59.9033,-0.0228035
7.8,0,60.0676,-0.239959
7.9,0,60.1817,0.0411678
8,0,60.3917,-0.152141
8.1,0,60.4458,-0.37485
8.2,0,60.6775,-0.394229
8.3,0,60.8583,-0.237021
8.4,0,60.8489,0.0110009
8.5,0,61.0539,0.104594
8.6,0,61.2475,0.169942
8.7,0,61.4249,0.262351
8.8,0,61.6322,0.172158
8.9,0,61.7816,0.355694
9,0,61.9218,0.500272
9.1,0,62.0938,0.604645
9.2,0,62.2459,0.734999
9.3,0,62.3855,0.878927
9.4,0,62.4819,1.058
9.5,0,62.5845,1.22984
9.6,0,62.7681,1.32953
9.7,0,62.7734,0.980071
9.8,0,62.7913,1.37252
9.9,0,63.0211,1.4467
10,0,62.9727,1.68718
10.1,0,62.9675,1.28785
10.2,0,63.2579,1.32071
10.3,0,63.3165,1.08687
10.4,0,63.4545,0.940138
10.5,0,63.549,1.27265
10.6,0,63.5837,1.47461
10.7,0,63.8518,1.41958
10.8,0,63.8494,1.69003
10.9,0,63.9225,1.31445
11,0,64.1813,1.34787
11.1,0,64.3481,1.50905
11.2,0,64.298,1.16445
11.3,0,64.5736,1.34644
11.4,0,64.6443,1.06952
11.5,0,64.8859,1.11138
11.6,0,65.0794,1.05905
11.7,0,65.0178,0.783231
11.8,0,65.1714,0.632372
11.9,0,65.3448,0.910039
12,0,65.519,0.680014
12.1,0,65.6745,0.916488
12.2,0,65.7624,1.10489
12.3,0,65.9686,1.16801
12.4,0,66.0099,1.39032
12.5,0,66.0539,1.58714
12.6,0,66.2526,1.29609
12.7,0,66.4263,1.52759
12.8,0,66.637,1.41186
12.9,0,66.7661,1.6281
13,0,66.8607,1.8097
13.1,0,66.8947,2.01332
13.2,0,67.164,1.93345
13.3,0,67.1311,1.63586
13.4,0,67.4023,1.7951
13.5,0,67.5774,1.89901
13.6,0,67.6646,1.6161
13.7,0,67.8618,1.54121
13.8,0,68.0626,1.68251
13.9,0,68.1926,1.85061
14,0,68.1437,2.08348
14.1,0,68.4349,1.99044
14.2,0,68.5013,1.73864
14.3,0,68.5262,2.11087
14.4,0,68.7127,1.80355
14.5,0,68.7113,1.58207
14.6,0,68.6882,1.97934
14.7,0,68.9439,2.03616
14.8,0,69.0364,1.74224
14.9,0,69.0106,2.12092
15,0,69.2988,2.00223
15.1,0,69.4954,2.05499
15.2,0,69.6948,2.00609
15.3,0,69.8795,2.11361
15.4,0,70.0848,2.08324
15.5,0,70.2003,1.87399
15.6,0,70.1874,2.23769
15.7,0,70.3843,1.93201
15.8,0,70.554,2.1787
15.9,0,70.5793,1.83887
16,0,70.8432,1.95494
16.1,0,71.0434,1.94283
16.2,0,71.1808,2.12783
16.3,0,71.141,2.36409
16.4,0,71.3889,2.41278
16.5,0,71.5394,2.18023
16.6,0,71.5348,1.95074
16.7,0,71.7588,2.21522
16.8,0,71.9591,2.06061
16.9,0,72.0186,1.83601
17,0,72.0106,2.2187
17.1,0,72.2465,1.95442
17.2,0,72.4012,2.19196
17.3,0,72.4801,1.87631
17.4,0,72.7256,1.99385
17.5,0,72.9251,2.0082
17.6,0,72.9838,2.25464
17.7,0,73.1262,1.94189
17.8,0,73.1242,2.31113
17.9,0,73.2206,1.93729
18,0,73.3824,1.80661
18.1,0,73.4323,2.15713
18.2,0,73.4769,1.7769
18.3,0,73.4595,1.57313
18.4,0,73.7329,1.78855
18.5,0,73.7177,1.46013
18.6,0,73.992,1.56055
18.7,0,74.1752,1.65834
18.8,0,74.2205,1.89084
18.9,0,74.1788,1.50237
19,0,74.1847,1.30245
19.1,0,74.2062,1.70146
19.2,0,74.4121,1.81212
19.3,0,74.4767,1.47456
19.4,0,74.7031,1.43657
19.5,0,74.8916,1.36883
19.6,0,75.0464,1.23641
19.7,0,75.1897,1.0954
19.8,0,75.4034,1.08085
19.9,0,75.4026,1.39204
20,0,75.5139,1.03363
20.1,0,75.7423,1.00412
20.2,0,75.7256,1.33363
20.3,0,75.9245,1.0373
20.4,0,75.8744,0.804816
20.5,0,76.1632,0.861865
20.6,0,76.2873,1.07661
20.7,0,76.4975,0.91478
20.8,0,76.5026,1.22932
20.9,0,76.6793,1.34919
21,0,76.8942,1.3718
21.1,0,77.0553,1.49672
21.2,0,77.1548,1.20836
21.3,0,77.2815,1.5207
21.4,0,77.4695,1.27814
21.5,0,77.613,1.52903
21.6,0,77.7169,1.22339
21.7,0,77.9564,1.32323
21.8,0,77.9993,1.05277
21.9,0,77.9524,1.44073
22,0,78.2522,1.3423
22.1,0,78.39,1.15886
22.2,0,78.6102,1.20278
22.3,0,78.5152,0.908503
22.4,0,78.727,1.21931
22.5,0,78.8743,1.35467
22.6,0,78.9064,1.5672
22.7,0,79.0845,1.26232
22.8,0,79.3126,1.3559
22.9,0,79.3966,1.58529
23,0,79.5926,1.35186
23.1,0,79.6714,1.65418
23.2,0,79.8525,1.75585
23.3,0,80.0653,1.76519
23.4,0,80.1986,1.54947
23.5,0,80.1949,1.90443
23.6,0,80.311,2.07254
23.7,0,80.2954,2.28254
